symbol,source_page,filing_text,filing_date,url
NSCI.V,https://nanalysis.investorroom.com/index.php?o=25&s=168,"Annual MD&A - English Apr 24, 2025","Apr 24, 2025",https://services.cds.ca/docs_csn/06273655-00000001-000042572-Nanalysis_MDA_Q4_-_FINAL-PDF.pdf
NSCI.V,https://nanalysis.investorroom.com/index.php?o=25&s=168,"Audited annual financial statements - English Apr 24, 2025","Apr 24, 2025",https://services.cds.ca/docs_csn/06273630-00000001-000042572-Nanalysis_Financial_Statements_Dec_31_-_FINAL-PDF.pdf
MDA.V,https://mda-en.investorroom.com/index.php?o=25&s=168,"Annual report - English Apr 29, 2025","Apr 29, 2025",https://services.cds.ca/docs_csn/06276335-00000001-000051924-MDASpace_AnnualReport-PDF.pdf
MDA.V,https://mda-en.investorroom.com/index.php?o=50&s=168,"Annual MD&A - English Mar 7, 2025","Mar 7, 2025",https://services.cds.ca/docs_csn/06250186-00000001-000051924-MDASpace_MDA-PDF.pdf
MDA.V,https://mda-en.investorroom.com/index.php?o=50&s=168,"Audited annual financial statements - English Mar 7, 2025","Mar 7, 2025",https://services.cds.ca/docs_csn/06250167-00000001-000051924-MDASpace_AFS-PDF.pdf
ABX.TO,https://investor.ovintiv.com/sedar-filings,"Annual report on Form 10-K - English Feb 23, 2026","Feb 23, 2026",https://services.cds.ca/docs_csn/06400176-00000001-000049180-Ovintiv_-_Form_10K_Annual_Report_-_Year_End_2025-PDF.pdf
ABX.TO,https://investor.ovintiv.com/sedar-filings,"Annual MD&A - English Feb 23, 2026","Feb 23, 2026",https://services.cds.ca/docs_csn/06400170-00000001-000049180-Ovintiv_-_MDA_-_Year_End_2025-PDF.pdf
ABX.TO,https://investor.ovintiv.com/sedar-filings,"Audited annual financial statements - English Feb 23, 2026","Feb 23, 2026",https://services.cds.ca/docs_csn/06400169-00000001-000049180-Ovintiv_-_Financial_Statements_-_Year_End_2025-PDF.pdf
ABX.TO,https://mda-en.investorroom.com/index.php?o=25&s=168,"Annual report - English Apr 29, 2025","Apr 29, 2025",https://services.cds.ca/docs_csn/06276335-00000001-000051924-MDASpace_AnnualReport-PDF.pdf
ABX.TO,https://mda-en.investorroom.com/index.php?o=50&s=168,"Annual MD&A - English Mar 7, 2025","Mar 7, 2025",https://services.cds.ca/docs_csn/06250186-00000001-000051924-MDASpace_MDA-PDF.pdf
ABX.TO,https://mda-en.investorroom.com/index.php?o=50&s=168,"Audited annual financial statements - English Mar 7, 2025","Mar 7, 2025",https://services.cds.ca/docs_csn/06250167-00000001-000051924-MDASpace_AFS-PDF.pdf
ABX.TO,https://investors.wildbrain.com/sedar-filings,"Annual MD&A - English Sep 25, 2025","Sep 25, 2025",https://services.cds.ca/docs_csn/06341603-00000001-000023380-wildbrain_mda_09252025-PDF.pdf
